name;categories;lat;lng
Sugar Tapas Bar;Cocktail Bar;52.52987919772112;13.341288500078788
Zum Stammtisch;Pub;52.53008628769528;13.340005179533046
Taverna Amphipolis;Taverna;52.5283773025609;13.341430713623419
George R;Cocktail Bar;52.53024939868373;13.341323381420828
Tirrée;Café;52.532153741214614;13.341539621589543
Thea & coffee;Café;52.531051148755026;13.34619112126696
Kaufland;Big Box Store;52.52900800094072;13.34416258044748
Wilhelms-Burger;Burger Joint;52.52775903929864;13.341485459948792
KOWSKI;Bar;52.527820615830024;13.341444789252778
Arminius-Markthalle;Food Court;52.52773864047764;13.338504312600316
Wallyard;Hostel;52.52759272113066;13.345239758491514
Trattoria da Luma;Trattoria/Osteria;52.531531708133606;13.344550872952926
Mercure Hotel MOA Berlin;Hotel;52.53208518021409;13.344259482313191
Arema Café & Restaurant;Breakfast Spot;52.53224629268898;13.34228664798818
Habe die Ehre;Austrian Restaurant;52.528024;13.338907
Pignut BBQ;BBQ Joint;52.527859685727734;13.338472860553619
