name;categories;lat;lng
Alter Wirt Moosach;German Restaurant;48.181014040905026;11.512222185157
Kaufland;Supermarket;48.17845565628767;11.505288458435283
Harry's Home Hotels;Hotel;48.17937375574979;11.5057406939927
Pils Corner;Food;48.18201125914964;11.510289809321193
Dillinger;American Restaurant;48.18286465094248;11.508082690644025
Ihle;Bakery;48.179233392209795;11.506020191226046
E xpress;Supermarket;48.18039834267968;11.512134432759922
Leto Motel;Motel;48.1800820003166;11.50665787742306
Rossmann;Drugstore;48.180804060722565;11.512003615110235
dm-drogerie markt;Drugstore;48.1788816;11.5057404
Osteria da Mimmo;Trattoria/Osteria;48.181693;11.516722
Leonardo Hotel Munich City North;Hotel;48.18051782254887;11.512223111605659
EDEKA;Supermarket;48.1832395;11.5070577
Rossmann;Drugstore;48.18086000871401;11.507637693666766
SUBWAY;Sandwich Place;48.180426;11.506993
Wimmer;Bakery;48.18013305267421;11.50691045501688
Bürgers;Gastropub;48.18113958009679;11.509952865916805
Bella Italia;Italian Restaurant;48.181340921654304;11.511528297470063
Doener Moosach;Fast Food Restaurant;48.180897;11.511849
Rackls Backstubn;Bakery;48.18152997727057;11.510890649874812
NachBar Moosach;Burrito Place;48.18121424935492;11.51314961669804
H Hugo-Troendle-Straße;Light Rail Station;48.17933345008006;11.514694078738264
Green Oasia;Asian Restaurant;48.18029697022391;11.506060187990904
