name;categories;lat;lng
Stadtbad Märkisches Viertel;Pool;52.59856795099607;13.353178726635974
Saturn;Electronics Store;52.59931;13.35432
Fitness First;Gym / Fitness Center;52.59857640687269;13.35483206740173
Deutsche Bank Filiale;Bank;52.59693873606619;13.355329973628045
Little Italy;Italian Restaurant;52.596760221436774;13.351510123230128
Crunch Fit;Gym;52.596826542917434;13.355248529838718
American Western Saloon;American Restaurant;52.59761678079617;13.352590962060049
Märkische Zeile Berlin;Shopping Mall;52.59909867036786;13.354791104793549
Seggeluchbecken;Lake;52.60155266652423;13.351357155984335
Flamingo Ballpark;Baseball Field;52.59984472187908;13.349864890682321
