name;categories;lat;lng
Taco Loco;Mexican Restaurant;50.93791393987735;6.881802771597222
9,3 Bar;Café;50.938099899364445;6.879171112009548
Aphrodite;Greek Restaurant;50.93782860325125;6.882305155915292
Pennycakes;Café;50.94066370259736;6.879707606767634
Arizona;American Restaurant;50.93780975560398;6.881191462846242
H Rheinenergie-Stadion;Tram Station;50.93764241559625;6.8773203238637235
Casa Mia;Italian Restaurant;50.937923;6.881023
Stadtwaldgarten;Spanish Restaurant;50.93753481844412;6.882423454608602
McDonald's;Fast Food Restaurant;50.938097858688074;6.877690680245889
Pizza Cologne;Snack Place;50.94317797235647;6.884104873162613
