name;categories;lat;lng
Citadines Michel Hamburg;Hotel;53.548885169336494;9.980953345592193
Wochenmarkt Großneumarkt;Farmers Market;53.55038988878322;9.980097501476779
Zum Spätzle;Swabian Restaurant;53.551032591750236;9.981607711190692
Trattoria Due da Enzo;Trattoria/Osteria;53.550545637202006;9.98040914485167
Kardelen;Turkish Restaurant;53.55066673466425;9.98227138147596
Karlsons;Scandinavian Restaurant;53.55039370118854;9.982171002947316
Eiskantine;Ice Cream Shop;53.552055596844234;9.980560649950272
Public Coffee Roasters;Coffee Shop;53.551372;9.982597
Katana Sushi;Sushi Restaurant;53.55037126093709;9.980392971265603
Trattoria da Enzo;Trattoria/Osteria;53.5510340870343;9.981609073080726
Adina Apartment Hotel Hamburg Michel;Hotel;53.55003203855243;9.97620653072568
Capriccio;Italian Restaurant;53.55113321833414;9.980351011361419
La Chance;French Restaurant;53.55099999350919;9.981542175883352
The 21;Vietnamese Restaurant;53.549013;9.975051
Krameramtsstuben;German Restaurant;53.548030732994256;9.980266141752411
Ahoi Marie Bootshaus;Seafood Restaurant;53.55128754827413;9.980514734376523
The Irish Rover;Irish Pub;53.55076071417284;9.98069587901912
Bootshaus Kombüse;Restaurant;53.55070065068546;9.982246858506885
Petit Bonheur;French Restaurant;53.550596;9.975596
Thai Food;Thai Restaurant;53.547878;9.983028
Lindner Hotel am Michel;Hotel;53.55086946137062;9.977811546437215
Old Commercial Room;Seafood Restaurant;53.548363257237156;9.978290556301134
Gaststätte Dreyer;Gastropub;53.54803802369361;9.982231494568289
Sautter + Lackmann;Bookstore;53.548779445363714;9.985005075415119
Motel One;Hotel;53.5498163;9.9750427
Erste Liebe;Café;53.549358818974824;9.985087456996364
The Office Formerly Known as Makers & Co. HQ;Arts & Crafts Store;53.54782998817404;9.981378612840503
Thämers;German Restaurant;53.55080184789539;9.980618852608913
Café Johanna;Café;53.54698600862621;9.97504130430151
Bar Oorlam;Beer Bar;53.553392;9.979864
Michelwiese;Park;53.54665765834406;9.978468307058067
Milch;Café;53.546051;9.975681
Portugiesen-Viertel;Neighborhood;53.5460144731622;9.975418811358425
Restaurant Buon Giorno;Italian Restaurant;53.5493158008065;9.983093137997466
HEJPAPA;Café;53.554262002751706;9.979817301092147
MeridianSpa;Gym / Fitness Center;53.54630062037711;9.980929072496528
Museum für Hamburgische Geschichte;History Museum;53.55153319184558;9.97429865416985
Ruby Lotti Hotel & Bar;Hotel;53.550784869421484;9.98522318935248
Marinehof;German Restaurant;53.549374206753974;9.985252761253843
THE MADISON Hotel Hamburg;Hotel;53.546185357074506;9.981167389964964
Wallanlagen;Park;53.553235310916826;9.97459888458252
Vin O Vin;Italian Restaurant;53.5530179206425;9.98360879991191
Mohltied;Bistro;53.55395794948612;9.978810103780344
Hanse Clipper Haus;Hotel;53.546253258125006;9.977159796904472
Westwerk (West Work);Art Gallery;53.548888800273396;9.98506575265259
Panthera Rodizio;Brazilian Restaurant;53.546251626376495;9.977081121970171
Fischmarkt Restaurant;Seafood Restaurant;53.546056790028565;9.977905917081442
Nachtmichel;Scenic Lookout;53.54854937182001;9.978847535303483
Coffee & Cakes;Café;53.54616203844147;9.976416509524036
Amber Cafe;Café;53.54600639379717;9.981471233463232
Insieme;Italian Restaurant;53.54794702084554;9.983148996092286
O Farol;Seafood Restaurant;53.546202;9.976053
Ambercafé;Bakery;53.5459584263231;9.981483205344512
Olà Lisboa;Portuguese Restaurant;53.54604379507754;9.975171391584041
Casa Madeira;Portuguese Restaurant;53.54602687312601;9.975749118880154
Casa Rita;Italian Restaurant;53.54796897790635;9.982964131839188
Eis-Stübchen Jörs Bakó;Ice Cream Shop;53.5470937666289;9.977720975875854
Portugal in Hamburg;Café;53.545994;9.976217
REWE CITY;Supermarket;53.54577897512725;9.977081030277546
Café Sul;Café;53.54606295508222;9.976159760896227
D. José;Portuguese Restaurant;53.546038920470586;9.976074821669968
Ahoi Backwaren;Bakery;53.5460401929379;9.97556442561786
