name;categories;lat;lng
VARY;Record Shop;51.34604669645483;12.395881421643221
Galerie Hotel Leipziger Hof;Hotel;51.34627756808995;12.403039751127361
ALDI NORD;Supermarket;51.34490900719921;12.404491043687804
Lebensmittelmarkt Dost;Grocery Store;51.34594702702519;12.400603294372559
Freizeitpark Rabet;Park;51.344685482449094;12.401425597685327
Elsapark;Park;51.34435570907656;12.398404211451155
Dürüm-Pizza-Haus;Middle Eastern Restaurant;51.347110449302974;12.400255017787659
Rabet;Café;51.34413137495995;12.40254560708301
H Elsastraße;Bus Stop;51.34251327312156;12.398800345406064
Bistro Hacibaba;Turkish Restaurant;51.34559341444291;12.405032365200551
Atrium Bistro;Bistro;51.343559144270856;12.394681651383358
REWE;Supermarket;51.34177814485762;12.395763156466046
Im Angebot;Grocery Store;51.34522000006999;12.405801748497431
Buchbinder Leipzig City;Rental Car Location;51.342230708211396;12.395655358224355
Ikram Ocakbasi;Middle Eastern Restaurant;51.34552907026918;12.406288760347092
H Hermann-Liebmann-/Eisenbahnstraße;Tram Station;51.34550188263374;12.406565681448912
