name;categories;lat;lng
Weißer Holunder;Pub;50.94649411474652;6.938427328611663
Osman 30;Restaurant;50.948025881883474;6.943219767930982
Just Fit 18 Premium;Gym / Fitness Center;50.9483441;6.94542483
Meson El Cordobes;Spanish Restaurant;50.945442;6.940443
MediaPark;Business Center;50.948044222928665;6.944461094320581
Al-Andalus;Spanish Restaurant;50.94559820469621;6.94060501790563
Ristorante Pinocchio;Italian Restaurant;50.94633820166512;6.9385720811525875
Hans im Glück - Burgergrill;Burger Joint;50.947812;6.945021
Motel One Köln-Mediapark;Hotel;50.94697472359862;6.94546845037988
Residenz;Indie Movie Theater;50.94410471018768;6.941983512081294
Spielplatz im Mediapark;Playground;50.947572230823184;6.940054893493652
Mercato Deluxe;Italian Restaurant;50.948143425851484;6.9474958908722115
Sushi En;Sushi Restaurant;50.9471207026147;6.9450950387999075
Stadtgarten;Park;50.944557395196654;6.936846971511841
Anya Imbiss;Snack Place;50.9439785068747;6.944417559164652
Herkulesberg;Park;50.949910669877255;6.938511292628851
Kompakt;Record Shop;50.94381113632415;6.939437977472633
EGE Lounge;Lounge;50.94842939728002;6.945390321971962
Kitchenette;Vegetarian / Vegan Restaurant;50.94571836551329;6.940064456683686
SUMO;Sushi Restaurant;50.94700961947684;6.945257738195749
Espressito;Café;50.944683;6.9428854
Cinedom;Multiplex;50.94768065337188;6.945133279077709
Publicis Sapient;Office;50.94368289073243;6.940660696215901
Salädchen;Salad Place;50.94463336392045;6.942441738107867
Kaiser-Wilhelm-Ring;Plaza;50.944657133650765;6.942487748125466
LeiLei;Chinese Restaurant;50.94610080170755;6.945065420768576
Bei Lena;Gastropub;50.94609429617835;6.94466350096144
Gado Gado!;Indonesian Restaurant;50.94617191955778;6.938894848595496
Club Déja Vu;Nightclub;50.9483930631205;6.945651524066256
Und Sohn;Restaurant;50.94847175834179;6.9436239614759705
Pantanal Rodizio;Brazilian Restaurant;50.94687872;6.94467341
Vivissano;Salad Place;50.948286762468896;6.946493844116621
Antik Hotel Bristol;Hotel;50.944885495855424;6.943551652502672
Mc Lennon;Bar;50.94643646810345;6.945808747857014
Jan von Werth;German Restaurant;50.94430448330103;6.943662269877007
Lore & Fitch;Steakhouse;50.946837738604415;6.9458379905999035
Hansaplatz;Park;50.946480558441344;6.947586536407471
Erstes Kölner Wohnzimmertheater;Theater;50.94464965039879;6.9456614935640015
