name;categories;lat;lng
Rossmann;Drugstore;50.08667056596876;8.645570738997467
Blackbox Burger;Restaurant;50.08467039;8.63857207
Sushi Nudelhaus;Sushi Restaurant;50.08614749489609;8.646826860259795
Bambus Haus;Asian Restaurant;50.086535304917184;8.642154779387003
Wochenmarkt Niederrad;Market;50.08680036533595;8.644453883171082
Mainufer;Scenic Lookout;50.09083856530223;8.641783552106059
Der Bäcker Eifler;Bakery;50.08679183574904;8.646187464485827
Dasarang - Koreanisches Restaurant;Korean Restaurant;50.0870743;8.64644158
Bäckerei Schaan;Bakery;50.08687376976013;8.646926879882812
NTG Speisegaststätte;German Restaurant;50.085016;8.644498
Lido Eis;Ice Cream Shop;50.08706682513894;8.64811775833044
