name;categories;lat;lng
Eiskultur Berlin;Ice Cream Shop;52.455086;13.514897
Dokumentationszentrum NS-Zwangsarbeit;History Museum;52.453265494829466;13.517971971759568
HTW Berlin - Beach;Beach;52.455243929045736;13.52455280581384
Artemis;Greek Restaurant;52.45336099571321;13.524300945739224
Union Zapfstelle;Gas Station;52.45381496025069;13.512974553427263
Schneller Back & Spätkauf;Convenience Store;52.4540537996977;13.51896705966728
Siena;Italian Restaurant;52.45456160245233;13.517545028326843
Kobani Bistro;Restaurant;52.454463;13.51626
Burger King;Fast Food Restaurant;52.45282822277411;13.515323806351152
Check In Hotel;Motel;52.455890539842365;13.511052489937093
H S Schöneweide / Sterndamm;Tram Station;52.454879566961665;13.511905849211521
Gleis 5/6;Platform;52.45487857170658;13.511882951734055
Metamorph Marina;Harbor / Marina;52.45915255097075;13.516903773570037
Tandoor House;Indian Restaurant;52.456420686565444;13.511051208994795
