name;categories;lat;lng
Kassette;Bar;51.21148940764456;6.800719607872532
Roll Inn;Turkish Restaurant;51.21446103247686;6.805165485078294
Via Appia;Italian Restaurant;51.2115977088851;6.800802434030356
Das Büdchen;Coffee Shop;51.211265;6.800494
Uerige am Markt;Comfort Food Restaurant;51.21653754620274;6.802088655725553
Chi Bay;Vietnamese Restaurant;51.21073097145928;6.797622018520095
Golden Thai;Massage Studio;51.21595988766801;6.8026107578648025
Mandu;Korean Restaurant;51.21693901480954;6.800485136330708
Rossmann;Drugstore;51.21494471322386;6.804671633925009
Edeka Tschöpe;Supermarket;51.21392300159166;6.8056616789203535
Premiere Classe Düsseldorf;Hotel;51.214366603644145;6.8004387087622495
Hotel Am Volksgarten;Hotel;51.21222583333333;6.800804
Amor Grill;Gastropub;51.2152699;6.80405
Essah Urfa Lahmacun;Doner Restaurant;51.2153313220034;6.804205503927161
U Ellerstraße;Metro Station;51.21323330675814;6.806059777736664
NH Hotel City Restaurant;Restaurant;51.21719055264082;6.802851345026326
Boteco Carioca;Brazilian Restaurant;51.21609686100292;6.802931229916407
Spezialitäten Bäckerei & Konditorei Behmer;Bakery;51.21306687441747;6.806215358090246
MyChicken;Burger Joint;51.21597257541128;6.80385376048984
U+H Oberbilker Markt/Warschauer Straße;Metro Station;51.21625252635781;6.803179085254669
Mevlana Döner;Diner;51.2127185797744;6.806528576134147
Stefano;Diner;51.216864849564494;6.802930721757054
Deichmann;Shoe Store;51.21249028163241;6.807213178089075
Düssel-Sport Helmreich GmbH;Sporting Goods Shop;51.212712;6.807384
Hotel NH Düsseldorf City;Hotel;51.21720180123947;6.802950854021368
Stefano Bistro & Bar;Gastropub;51.21697000272689;6.802944657642153
H Kruppstraße;Tram Station;51.210467593962505;6.801071086184104
Unikat Shisha Bar;Hookah Bar;51.21238295;6.8075037
tropica shisha cafe;Hookah Bar;51.215113;6.796038
