name;categories;lat;lng
Shotgun Sister Coffeebar;Café;48.113382;11.58516
Schinken-Peter;German Restaurant;48.11094790226464;11.584574534278056
dm-drogerie markt;Drugstore;48.111113;11.5955145
Mystikon;Greek Restaurant;48.112662034587025;11.584352011769015
Eiscafé Verona;Ice Cream Shop;48.109742615263855;11.595100875052395
Bar On;Hookah Bar;48.11474983217186;11.592637268340525
Weißenseepark;Park;48.109812169789556;11.584508428637477
Giesinger Bahnhofsplatz;Plaza;48.11191169891713;11.595154874128244
La Locanda;Italian Restaurant;48.113909113324375;11.583725281634598
Leonardo Hotel & Residenz München;Hotel;48.11350094917069;11.583620042122078
Giesinger Reha-Sport;Athletics & Sports;48.1111946105957;11.590848922729492
H Fockensteinstraße;Bus Stop;48.109736143663994;11.588819127830961
Netto Marken-Discount;Supermarket;48.1109498;11.5905293
U Untersbergstraße;Metro Station;48.112635967040795;11.587516091802959
Versicherungskammer Bayern;Insurance Office;48.11371;11.58824
Spesa e Spuntini;Italian Restaurant;48.113095263343084;11.586300530462735
H Valeppstraße;Bus Stop;48.11100788629899;11.58392670412022
Bienen-Apotheke Giesing;Pharmacy;48.11026439728101;11.595238009449531
burgerme;Burger Joint;48.114623120372755;11.592805073423282
