name;categories;lat;lng
Café Schwesterherz;Café;53.61976985469713;10.033181002095615
Café Fritz;Café;53.62307093018587;10.03330650587819
Best Western Amedia Hamburg;Hotel;53.6204367272286;10.032898804893534
Ribling;Restaurant;53.620463391938145;10.032701423179391
Le Crobag;Bakery;53.62059138080306;10.031426667361512
Hallen- und Freibad Ohlsdorf;Pool;53.62115575912407;10.030775282603198
Expresso Bäckerei;Bakery;53.620810692475054;10.032495509666834
Ditsch;Bakery;53.62073864;10.03181432
S+U Ohlsdorf;Light Rail Station;53.620444;10.031568
Mon Petit Bistro;Snack Place;53.620597965657836;10.03133241276173
ServiceStore DB - S-Bahnhof Ohlsdorf;Smoke Shop;53.62101363;10.03118938
