name;categories;lat;lng
Elbe Einkaufszentrum (EEZ);Shopping Mall;53.57080087847448;9.861527681350708
H&M;Clothing Store;53.571175999856386;9.862069403752685
EDEKA Klein;Supermarket;53.5696179;9.861678099999999
Zara;Clothing Store;53.57042093655825;9.861353640260022
dm-drogerie markt;Drugstore;53.57041;9.860387
Saturn;Electronics Store;53.57053779447738;9.860575012268447
Telekom Shop;Mobile Phone Shop;53.57039400000001;9.860457373016288
NORDSEE;Seafood Restaurant;53.57070451;9.86162061
C&A;Clothing Store;53.57125640924116;9.861946105957031
REWE Center;Supermarket;53.57037862884288;9.863689186508168
Don Quichotte;Pizza Place;53.57255511868515;9.855313690545179
Hollister Co.;Clothing Store;53.57038440673259;9.861998705266643
Starbucks;Coffee Shop;53.57083816719181;9.862043583846392
BabyOne;Baby Store;53.57213241615411;9.863907471299171
Desigual;Boutique;53.570440910131914;9.861452579498291
BUTLERS;Furniture / Home Store;53.57044589119204;9.862207832407906
H Knabeweg;Bus Stop;53.57579355995852;9.855086925198725
Tchibo;Coffee Shop;53.57045822139916;9.862568895374588
Hans-Christian-Andersen-Park;Park;53.57582228890691;9.854964627515157
Görtz;Shoe Store;53.570151;9.86064
