name;categories;lat;lng
Bäckerei Wiedenroth;Bakery;53.55608389822626;9.921576028293025
Warenwirtschaft;Grocery Store;53.5557045473899;9.921440583671274
Schlecks;Ice Cream Shop;53.55235434109716;9.92248459875318
Froindlichst;Vegetarian / Vegan Restaurant;53.55673426412657;9.921648325801367
Behrings - ehemals Stadtcafé Ottensen;Café;53.553987476599595;9.919627878604961
Jö Makrönchen;Dessert Shop;53.55480275202142;9.921823231335233
Black Delight;Café;53.555013;9.926891
Souperia;Soup Place;53.554876636493304;9.927013766250962
The Box;French Restaurant;53.55640903714409;9.92608376646318
Kemal-Altun-Platz;Park;53.55248957674647;9.92587924003601
Arturo 1919;Restaurant;53.55322863947012;9.922682706952989
China Bistro Yen;Asian Restaurant;53.555390134480156;9.926092967024017
Taverna Elia;Taverna;53.55577775193073;9.921807729798543
Kreuzkirche (Ottensen);Church;53.553589852891456;9.917576969743113
H Kreuzkirche;Bus Stop;53.55380385786418;9.916338157633778
FC Teutonia 05;Soccer Field;53.5521800254926;9.918520620750442
Nepheli;Greek Restaurant;53.55783242722864;9.914521784120058
H Bleickenallee (Kinderkrankenhaus);Bus Stop;53.55101942386872;9.918528686501029
