name;categories;lat;lng
thai Streetkitchen;Asian Restaurant;48.149513;11.460341
Pasinger Viktualienmarkt;Farmers Market;48.14741314007029;11.461742239514992
Pasing Arcaden;Shopping Mall;48.148119395685995;11.463187697235933
Nihao;Chinese Restaurant;48.14872274491318;11.460536701305411
Rischart;Bakery;48.149101015853944;11.461131465947297
Aran Brotgenuss & Kaffeekult;Café;48.147574280142855;11.463684886044556
Lemontrees II;Thai Restaurant;48.14542617385992;11.459461024302133
HIT;Supermarket;48.14749712050611;11.463620716894239
essence;Restaurant;48.15055531855187;11.464245199977404
FIT STAR Fitnessstudio München-Pasing;Gym / Fitness Center;48.1497694;11.459762
Alnatura;Organic Grocery;48.14640288365713;11.464169572054557
Genusswerk;Coffee Shop;48.14790894728631;11.464153054652119
Pasinger Fabrik;Theater;48.15082693326434;11.461377297767045
Das Meisterstück - Pasing;Theme Restaurant;48.14995341858729;11.457652847066306
Schweizer Hof;German Restaurant;48.144038264664104;11.458141253157931
Brioche Doree;Café;48.14850163858922;11.462664316487059
dm-drogerie markt;Drugstore;48.1488779;11.4624219
Food Court;Food Court;48.147541179698834;11.463631745559375
Viet Village;Vietnamese Restaurant;48.145236752316336;11.461315084870114
Eis Café Portofino;Ice Cream Shop;48.14771;11.46039
Pommes Freunde;Fast Food Restaurant;48.14893290667292;11.461507148022662
Nespresso Boutique;Coffee Shop;48.147492250348996;11.46355562187867
Starbucks;Coffee Shop;48.14896;11.462096
Five Guys;Burger Joint;48.1477162;11.4634224
dm-drogerie markt;Drugstore;48.1465152;11.4610743
Rossmann;Drugstore;48.14941987598983;11.459360768716367
LEGO Store;Toy / Game Store;48.14860145932451;11.462524147694737
C&A;Clothing Store;48.148057396820775;11.464437490717158
Restaurant Trattoria Da Peppo;Italian Restaurant;48.146299271214275;11.463260034918495
Vapiano;Italian Restaurant;48.14926168810389;11.460307263009177
SUBWAY;Sandwich Place;48.14848567554449;11.46321876135221
Taverna Kypros;Taverna;48.14507379065398;11.459973576723572
Bayerisches Schnitzel- und Hendlhaus;German Restaurant;48.146424;11.463926
Hugendubel;Bookstore;48.14850595570167;11.46155068523074
Auszeit;Spa;48.15019290894543;11.464411973923232
Henry's Deli;Modern European Restaurant;48.14772999191926;11.463502561192222
Gelatissimo;Ice Cream Shop;48.14844101171115;11.462797090368431
Media Markt;Electronics Store;48.14850721533689;11.46322564723873
Segafredo;Café;48.148828181621944;11.460771349944348
Deutsche Bank Filiale;Bank;48.14701768444154;11.461078888972224
Pasinger Bahnhofsplatz;Plaza;48.14876985951007;11.461396354688233
Pasinger Marienplatz;Plaza;48.146910698725776;11.459313306477291
Dunkin';Donut Shop;48.14730340477096;11.463660109123225
H&M;Clothing Store;48.14835332639413;11.463154935137158
McDonald's;Fast Food Restaurant;48.149097079910796;11.460718601952989
Kentucky Fried Chicken;Fried Chicken Joint;48.149112;11.460867
Sausalitos;Mexican Restaurant;48.1492006835164;11.459814999653988
Müller;Drugstore;48.14725846541319;11.463525652536378
ALEX;Café;48.14881198780199;11.461740177819102
Bäckerei Wimmer;Bakery;48.149174533646615;11.46025434108357
Cantina;Italian Restaurant;48.15086933630012;11.461340658606225
Quán Sen;Vietnamese Restaurant;48.14870705132852;11.462212751033473
REWE City;Supermarket;48.14960900858082;11.459442418502704
EDEKA;Supermarket;48.14824993928396;11.461701393127441
Parfümerie Douglas;Perfume Shop;48.1490823;11.4618777
Münchner Bank;Bank;48.1459592198017;11.459341049194336
TOM TAILOR Store;Clothing Store;48.1483104;11.4638695
Gleis 5/6;Platform;48.14989438909183;11.461716885521783
Erdgarten Biomarkt;Organic Grocery;48.14539431093666;11.458858155673385
ALDI SÜD;Supermarket;48.14797231675671;11.46498845767212
H Scapinellistraße;Bus Stop;48.14780759288538;11.45409197367784
Bäckerei Schuhmair;Bakery;48.147443284521344;11.454001256811178
