name;categories;lat;lng
Latio Restaurant;Italian Restaurant;50.99777892079525;6.875852752374945
EDEKA;Supermarket;50.99632948064967;6.872835018174688
Steaks aus aller Welt;Steakhouse;50.998788754843595;6.877203659407459
Hermes Optik Pesch;Optical Shop;50.998794525203316;6.87744140625
H Otto-Müller-Straße;Bus Stop;51.00038227892077;6.879015589877939
Saloniki Grill;Greek Restaurant;51.00149410784154;6.877479922420024
Bäckerei Voosen;Bakery;51.00149576578309;6.877537781674327
EDEKA Melanie Brück;Supermarket;50.99646982;6.87283997
H Donatusstraße;Bus Stop;51.001550032911666;6.877648467048883
Fitness Studio Pesch - Tanz Werkstatt;Gym;50.99660316579628;6.872179399731914
