name;categories;lat;lng
Little Monsters;Bagel Shop;53.60522;10.156598
Schweinske Rahlstedt;German Restaurant;53.60515965110686;10.158849704186114
Braaker Mühle;Bakery;53.60450481274877;10.155128034556151
Rossmann;Drugstore;53.604300983818746;10.155367039368906
dm-drogerie markt;Drugstore;53.60503532335621;10.156889542327917
H&M;Clothing Store;53.6048271437305;10.158234013643037
Cafe Ole;American Restaurant;53.605244662304536;10.160421469828124
Wochenmarkt Rahlstedt;Farmers Market;53.60404904810152;10.154838872007199
Bahnhof Hamburg-Rahlstedt;Train Station;53.604658987625335;10.154260911165416
McDonald's;Fast Food Restaurant;53.604241863665955;10.15432089210878
Hansebäcker Junge;Bakery;53.60493339072108;10.157231146095434
Eiscafe Venezia;Ice Cream Shop;53.60508575495206;10.157289505004883
Bäckerei Junge;Bakery;53.60520057366365;10.157130364312454
Dönerhaus Rahlstedt;Fast Food Restaurant;53.605254;10.155916
AMTV Vereinsheim;Gym;53.60192867187421;10.157872469412348
Budnikowsky;Pharmacy;53.60394954867864;10.1548573405882
Sultan's Kebap;Restaurant;53.60417204812238;10.154819987064855
Commerzbank;Bank;53.604076788950145;10.154431567696868
Kinderreigen;Toy / Game Store;53.602842068801756;10.154526182096113
Eis Insel;Ice Cream Shop;53.601545163278;10.153541477008295
