name;categories;lat;lng
Golf Lounge e.V.;Golf Course;53.53345042274589;10.034143961565961
Elbpark Entenwerder;Park;53.53187789378306;10.0339937210083
ALDI NORD;Supermarket;53.53571972688576;10.03681754106384
Dö-Diner;Fast Food Restaurant;53.53651329968909;10.034362524729179
Windfang;Hotel Bar;53.53509567186003;10.02993027575642
Restaurant Elbgarten;Restaurant;53.53480637938193;10.029489689278812
H Billhorner Mühlenweg;Bus Stop;53.536516702894296;10.034912032010984
Hamburger Sparkasse;Bank;53.53411303410577;10.039132717488737
Dönerei;Doner Restaurant;53.533737;10.038924
Hansebäcker Junge;Bakery;53.53349390033061;10.038595090891011
Budnikowsky Rothenburgsort;Pharmacy;53.53318;10.038801
ELB-RESIDENCE Appartements;Hotel;53.535956421531985;10.031074048170312
