name;categories;lat;lng
Café Leonar;Café;53.56969012174519;9.984371729694454
Küchenfreunde;Deli / Bodega;53.570554751138445;9.98489010361897
Restaurant Brodersen;German Restaurant;53.56653131568145;9.988850005862782
Otto's Burger;Burger Joint;53.56855315412604;9.983142069947604
Backecht;Bakery;53.569613125182514;9.984792461342801
Hamburger Kammerspiele;Theater;53.56999572380644;9.985398799180984
Salon Wechsel Dich;Café;53.57035933223128;9.984817962783556
Hamburg4 | Apple Premium Reseller;Electronics Store;53.566268;9.987421
Restaurant Pinakas;Greek Restaurant;53.57069110039428;9.98493334312045
Wochenmarkt am Völkerkundemuseum;Farmers Market;53.5683022871979;9.988473815038963
Abaton;Indie Movie Theater;53.567641412407056;9.981845059440579
L'Espresso Bar;Italian Restaurant;53.56943814373536;9.98402119256755
Hindukusch;Afghan Restaurant;53.567973;9.981651
Feine Kost;Falafel Restaurant;53.56788200929012;9.988083943618797
Eiscafé La Veneziana;Ice Cream Shop;53.56774796989517;9.981704362570113
Mandelmehl & Zuckerei;Dessert Shop;53.56961903180254;9.98241955871681
Andere Welten;Bookstore;53.567289607613596;9.980848082805128
Spiesserei;Mediterranean Restaurant;53.56534092291712;9.983129492939364
La Monella;Vegetarian / Vegan Restaurant;53.57204591515663;9.985890320325211
Wochenmarkt Turmweg;Farmers Market;53.57087237580809;9.9921536740309
Budnikowsky;Drugstore;53.56796279031677;9.980431045786094
Falafel Haus;Falafel Restaurant;53.56604166918637;9.982109208728062
Pony Bar;Café;53.567644415709076;9.98244717639109
Café David;Mediterranean Restaurant;53.56997591135336;9.984371459804564
St. Johannis;Church;53.57089237899033;9.993436842985199
Hanse Beans;Coffee Shop;53.565298;9.983581
Arkadasch;Turkish Restaurant;53.56800787967013;9.98200462266775
Golden Temple Teehaus;Tea Room;53.56486873817241;9.983595983596958
EDEKA Niemerszein;Supermarket;53.57257963920091;9.987640457731443
Patacón Pisao;Colombian Restaurant;53.5708688;9.986052050000001
Casa Mia Restaurant;Pizza Place;53.57006225734734;9.984562286353654
Sushi Iô;Sushi Restaurant;53.57139691120281;9.98855444377381
Hotel Am Dammtor;Hotel;53.564164851349496;9.988058687393865
Der Etrusker;Italian Restaurant;53.569309473898066;9.983879790812816
Windschirm;Pub;53.57152290965826;9.985996474641745
Curry Grindel;Fast Food Restaurant;53.56688813460068;9.980847526364702
Swedish Cream;Café;53.571808781194285;9.988802539088018
Hanging Out Café;Café;53.568177;9.981464
Abaton Bistro;Café;53.56773504540619;9.981719017061508
Roxie;Pub;53.56686557706262;9.980415127673862
Balutschi;Pakistani Restaurant;53.56567908040845;9.982521139255384
Double Coffee;Coffee Shop;53.564929106136354;9.98681608511257
Campus Suite;Coffee Shop;53.56743354065623;9.988290082289572
MARKK - Museum am Rothenbaum Kulturen und Künste der Welt;Museum;53.56848823324802;9.988692634569093
Hotel Wagner im Dammtorpalais;Hotel;53.564097222054365;9.987364052410072
Nur Hier;Bakery;53.567021;9.981024
Neumann|s Bistro & Weinbar;Wine Bar;53.57088232622848;9.984979523916916
Bolero;Mexican Restaurant;53.57224836746269;9.988962747868369
Doris Diner;Diner;53.56909922706442;9.983613192238202
Eiszeit;Ice Cream Shop;53.56897010894002;9.988334958557077
Logo;Rock Club;53.56455325833193;9.983842750519155
Qrito;Mexican Restaurant;53.56733871029382;9.980787454030345
Sushi Factory Grindelhof;Sushi Restaurant;53.570152627083615;9.984530407940024
Ristorante Verdi;Italian Restaurant;53.568378;9.988435
Cafe Dilo;Mediterranean Restaurant;53.56542387511524;9.982863536416609
Pappnase & Co.;Bookstore;53.56717543811045;9.980936935263747
