name;categories;lat;lng
Bolleufer;Waterfront;52.49557113611055;13.481265415175585
Rummelsburger Bucht;Lake;52.496420805204444;13.477478027343748
Kap Stralau;Scenic Lookout;52.48920906993787;13.481705188751219
HANSA-WERFT Thomas Geppert;Harbor / Marina;52.49124020837859;13.48131547313149
Schiffskontor Stralau;Boat or Ferry;52.491144;13.482071
Knabenhäuser Rummelsburg;Memorial Site;52.496253;13.480591
Spielplatz Hildegard-Marcusson-Straße;Playground;52.495149;13.484581
Gode Wind - Hauptstadtkogge;Restaurant;52.492006;13.485583
Sportplatz Alt-Stralau;Soccer Field;52.49335589727762;13.474726147487099
Regatta-Ufer;Park;52.48958411030486;13.480301164348568
Caroline-Tübbecke-Ufer;River;52.492493529653;13.474481049861925
Back Nixe;Bakery;52.49605973;13.47485043
