name;categories;lat;lng
Backbord;Bakery;51.43625574100303;7.005169463032465
Gasthaus Zum Brenner;Restaurant;51.434952;7.007809
dean&david;Bistro;51.436322174282914;7.005159958894087
Miamamia am Stern;Café;51.4367652754948;7.005341044049754
Traum in Tüten;Boutique;51.43699519039582;7.007801969926207
Format Warenwunderland;Gift Shop;51.434986539749964;7.004666407072854
Galerie Cinema;Indie Movie Theater;51.43433279979607;7.008876973497441
Rüttenscheider Stern;Plaza;51.43751415992541;7.005417096020276
Sprenger Pur;Cupcake Shop;51.43710776372143;7.005411366812328
Habibiz;Falafel Restaurant;51.43750844835588;7.004851716709181
Stoffwechsel;Restaurant;51.43719507429708;7.007766111002655
fcuk yoga;Cocktail Bar;51.435371407623364;7.006225794700848
Orkide Döner-Kebap;Doner Restaurant;51.43781615179873;7.006136304881425
miran;Doner Restaurant;51.43822945971479;7.005649822338677
Rüttenscheider Markt;Market;51.43802013814777;7.007609079688969
dm-drogerie markt;Drugstore;51.43819724870999;7.00551583523486
Miamamia;Café;51.43234479848671;7.004074729670424
Jonny's Esskultur;Bistro;51.437725280879235;7.004317969952084
Nirvana;Turkish Restaurant;51.43308553217962;7.002042716511929
Burgerheart;Burger Joint;51.433014;7.004092
Karawane NEXT;Middle Eastern Restaurant;51.43656548298911;7.002905183744447
dm-drogerie markt;Drugstore;51.43489;7.004424
Sushi Haus;Sushi Restaurant;51.43221440198415;7.003661923599232
Venezia;Italian Restaurant;51.43939178552952;7.006063804970688
Rüttenscheider Hausbrauerei;Brewery;51.43150369258693;7.004473078251702
