name;categories;lat;lng
bb bistro;Asian Restaurant;53.653498350467316;10.114521739262456
Forum Sasel;Food;53.653710839643225;10.112211938306304
Wochenmarkt Sasel;Farmers Market;53.6536688933068;10.111070696425237
Dat Backhus;Bakery;53.65332915357249;10.113405207024766
H Saseler Markt;Bus Stop;53.653660917634745;10.113820736409387
Rindchen Weinkontor;Wine Shop;53.653851453830534;10.113642506829706
Budnikowski Sasel;Drugstore;53.654104730692914;10.112485644121556
Edeka Aktivmarkt Sven Berger;Supermarket;53.65354057903468;10.111422728853114
Konditorei Jörg Fastert;Dessert Shop;53.65426431730299;10.111747679612039
REWE;Supermarket;53.6557481;10.1196963
