name;categories;lat;lng
Maza Pita;Falafel Restaurant;51.32415771983661;12.343895716689275
RöstGut;Café;51.32522831092439;12.340946152690314
Jimmy Orpheus;Café;51.32509509619705;12.342429577397239
Mai Tai;Thai Restaurant;51.325142001518124;12.344152556061706
Eis an der Kö;Ice Cream Shop;51.32342485236464;12.343525063342373
Billardtreffpunkt Pool;Pool Hall;51.322346729868755;12.335432939416247
Sancho Pancha;Mexican Restaurant;51.32358107688972;12.345315805611422
Konsum;Supermarket;51.32396242600518;12.343727516510762
SUBWAY;Sandwich Place;51.32444190050843;12.343819285165978
Speisekammer;Grocery Store;51.3262072;12.3422586
Thiseas;Greek Restaurant;51.32535;12.33938
Back & Snack;Bakery;51.3266787605253;12.339380865078388
Lidl;Supermarket;51.3251788;12.3349494
Bistro Ischtar;Falafel Restaurant;51.320481;12.341889
Kosmos Kletterhalle;Climbing Gym;51.32301013254229;12.335322138595012
