name;categories;lat;lng
Tantris;Restaurant;48.16960490690133;11.588046682111964
Andaz Munich Schwabinger Tor - a concept by Hyatt;Hotel;48.17055394003215;11.586214981425014
La Bohème;Restaurant;48.17288909827968;11.586641241885667
Ungererbad;Pool;48.17032472949788;11.592601346285193
dm-drogerie markt;Drugstore;48.170461;11.5863292
The Lonely Broccoli;Restaurant;48.171331;11.586287
Bäckerei Kistenpfennig;Bakery;48.16894529703482;11.586521043678827
Lidl;Supermarket;48.168836769763196;11.587480902671814
Pils Doktor;Bar;48.16689843366561;11.586271989409918
Seoul;Korean Restaurant;48.16665739331694;11.58662398742205
Da Fausto Ristorante;Trattoria/Osteria;48.168572;11.592702
Bar On;Cocktail Bar;48.16689128703748;11.586677595478028
Fleming's Hotel München-Schwabing;Hotel;48.16761782210617;11.58665654167593
Jaadin Grill- & Teahouse;Vietnamese Restaurant;48.17123737265718;11.586869359016418
Bäckerei & Konditorei Ludwig Riedmair;Bakery;48.17284752407575;11.586119360861398
