name;categories;lat;lng
Winterbiergarten Bamberger Haus;Gastropub;48.170647325557375;11.568190740111131
Zum Ferdinand;Austrian Restaurant;48.1706837838718;11.567918395112976
Ohayou;Japanese Restaurant;48.167224;11.573723
Luitpoldpark;Park;48.17266837904245;11.570255756378174
Bayernpark;Park;48.16548013959173;11.568097076311393
Bei Ling;Chinese Restaurant;48.16742772233813;11.57030352913079
Georgios;Taverna;48.165727644673574;11.564714143766105
Longgrain;Thai Restaurant;48.16528190076732;11.573976983517595
Ristorante Nabucco;Italian Restaurant;48.16404389815229;11.56924051541323
Ciao Francesco;Italian Restaurant;48.17063505363655;11.5680924182031
Café Scheidplatz;Café;48.171502;11.574328
Luitpoldhügel;Hill;48.171299985157184;11.571545988243953
Burger House;Burger Joint;48.17036964593527;11.564782495339418
Bonjour Vietnam;Vietnamese Restaurant;48.16411629149406;11.571315534947178
Pearl Garden;Vietnamese Restaurant;48.16710659864469;11.573133103848718
Lidl;Supermarket;48.16606267582157;11.574056958858554
Scheidplatz;Plaza;48.170743921685514;11.573153645349631
Bamberger Haus;Restaurant;48.170657;11.568068
U Scheidplatz;Metro Station;48.170735779786824;11.573167129867398
H Ackermannstraße;Tram Station;48.16765017611474;11.564916590996958
basic;Organic Grocery;48.166229427561085;11.574005467024184
Pizza Rapido;Pizza Place;48.1659671220358;11.564723427365855
