name;categories;lat;lng
ELEMENTS;Gym;48.14337431016967;11.53650361291359
Royal India Restaurant;Indian Restaurant;48.138261690272934;11.536046461940593
Mimi;Asian Restaurant;48.137802;11.529905
Westend's Best Döner;Doner Restaurant;48.137764;11.534796
Hilton Garden Inn (Hilton Garden Inn Munich City West);Hotel;48.14071711500381;11.535505158067952
Grill & Grace;Steakhouse;48.138775454365785;11.529211369172723
Motel One München-City-West;Hotel;48.139877329045575;11.537013621659518
Servus Heidi;German Restaurant;48.139679;11.537853
Café Dupont;Wine Bar;48.14004019999999;11.5377667
EATapas Bar & Restaurant;Tapas Restaurant;48.13661236670906;11.534474270065216
Freiheizhalle;Music Venue;48.14374356728783;11.536679863929749
Florenz Gelateria Italiana;Ice Cream Shop;48.1373716624859;11.535059853058268
dm-drogerie markt;Drugstore;48.138324;11.536775
Rippel-B;American Restaurant;48.136448;11.530463
Red Pepper;Mexican Restaurant;48.13859190902995;11.53112379897904
otantik;Doner Restaurant;48.140248;11.531047
Hampton by Hilton Munich City West;Hotel;48.140983572926025;11.535286898911922
VietHa;Vietnamese Restaurant;48.139985439592;11.536576323796105
Angermaier Trachten- und Ledermoden;Boutique;48.140054319295416;11.533773596175292
dean&david;Salad Place;48.14367294065624;11.537022287316702
Gollierplatz;Plaza;48.136315601480234;11.535805463790894
Kiliansplatz;Plaza;48.13874197280337;11.53205827770891
Feinkost Express;Gourmet Shop;48.13880720487919;11.531291222311607
