name;categories;lat;lng
Rüyam Gemüse Kebab;Doner Restaurant;52.48480747236112;13.353681178205404
Gasometer;Event Space;52.48265904762961;13.35960624726842
Café de Enrico;Café;52.481013876466925;13.349787701000947
Sahara Sudanesische Spezialitäten;African Restaurant;52.479845;13.35181
Mehlstübchen;Bakery;52.483855;13.361253
Kleine Fabriek;Baby Store;52.481447294564596;13.36037278175354
PapalaCup;Café;52.47977811367951;13.360209012031753
Odeon;Indie Movie Theater;52.48208572810069;13.349482915306812
FitX;Gym / Fitness Center;52.4855976;13.355686
Balkan Grill;Eastern European Restaurant;52.48004217551773;13.352420220636539
Osbili;Bistro;52.479532;13.349973
Mokalola;Café;52.48432707145924;13.361495269419237
Viani;Grocery Store;52.486193398717965;13.355951246951411
Croissanterie;Breakfast Spot;52.48462598080004;13.353219892465056
Weinverein Rote Insel;Wine Bar;52.481388952709025;13.361326140802392
Cheruskerpark;Park;52.48330413181421;13.358933853476094
Jansen Bar;Cocktail Bar;52.482993887713505;13.360315065402396
To beef or not to beef;Steakhouse;52.48651743091039;13.355705738067627
Felsenkeller;Pub;52.486571;13.355757
EDEKA Siegler;Supermarket;52.485690227097294;13.357351831225914
ammAmma;Indian Restaurant;52.48511790858147;13.352312977668845
dm-drogerie markt;Drugstore;52.4856464;13.3557823
BIO COMPANY;Organic Grocery;52.484905592832774;13.353554186745155
Viet Kitchen;Vietnamese Restaurant;52.479964;13.352093
7 Days - Finest Fresh Food;Doner Restaurant;52.48628144154436;13.356442899228158
Shawarma One;Falafel Restaurant;52.48158001963898;13.349408682953094
Eisfee;Ice Cream Shop;52.48653049751711;13.355770111083984
