name;categories;lat;lng
Burger House;Burger Joint;48.117756;11.540782
Riviera;Ice Cream Shop;48.116900283025785;11.538955214735097
dm-drogerie markt;Drugstore;48.11847773282137;11.540694099370967
Café Schuntner;Café;48.121270672081586;11.540986222851044
Hofladen am Stemmerhof;Deli / Bodega;48.121631592087965;11.540827499447134
Best Doner Sendling;Doner Restaurant;48.11968769854592;11.54065958227581
Bäckerei Zöttl;Bakery;48.1166007106465;11.533729535593864
Ninh Restaurant;Vietnamese Restaurant;48.12099360223228;11.544024424388319
Centro Español;Spanish Restaurant;48.120075567636896;11.543892312620018
Meindleck;German Restaurant;48.1194344654802;11.538246358665372
Kebabo;Turkish Restaurant;48.11831620863008;11.53394840626987
Biomarkt Stemmerhof;Organic Grocery;48.121659035542756;11.54051634530356
Hue House;Vietnamese Restaurant;48.119553775057305;11.54230856356453
Restaurant ÖEINS im Stemmerhof;Austrian Restaurant;48.1217617;11.5408345
K+K Hotel am Harras;Hotel;48.117021040990956;11.538198544749063
Südbad;Pool;48.11691492596895;11.543868407581538
Café KreisLauf;Café;48.12012835;11.54376262
Wirtshaus Valley's;German Restaurant;48.11717819951239;11.545085262525179
Fressnapf;Pet Store;48.11638453778747;11.532816797063205
Restaurant Stemmerhof;Restaurant;48.1216498537882;11.540302829602847
Pizzeria Europa;Pizza Place;48.11948091923965;11.542099347351279
Mehfil;Indian Restaurant;48.11843707869279;11.533633395610913
Sendlinger Augustiner;German Restaurant;48.12115;11.543822
Edeka;Supermarket;48.117386;11.5404
Alfa Reinigung;Laundry Service;48.118769;11.540273
Hotel Ambiance Rivoli;Hotel;48.11702727968107;11.534687938898935
Am Harras;Plaza;48.11695841989013;11.539716830950928
EDEKA Bäsler;Supermarket;48.1192131;11.533151
Pschor Krug;Gastropub;48.11972319409219;11.543583869934082
Deutsche Post;Post Office;48.11667885049357;11.539746162497552
Margaretenplatz;Plaza;48.11973939718049;11.539632522624757
Sparkasse;Bank;48.11696199773016;11.539944148780584
Behring Apotheke;Pharmacy;48.11840999956483;11.54070500971801
