name;categories;lat;lng
China-Restaurant C. Q. Flavor / Bejing Garden;Chinese Restaurant;48.740100745322316;9.218678899755268
Sillenbucher Markt;Shopping Mall;48.73971840504382;9.219402443871038
dm-drogerie markt;Drugstore;48.74012832639004;9.21897568220902
U Sillenbuch;Metro Station;48.741462805055015;9.2182213186777
Sillenbuch's Pizza&Kebab;Middle Eastern Restaurant;48.74143585777892;9.21807552484627
Wochenmarkt Sillenbuch;Farmers Market;48.73999981922624;9.21948289834858
FitnessPark Sillenbuch;Gym;48.7398915634942;9.21927161694499
EDEKA Stuttgart-Riedenberg;Supermarket;48.739479223684896;9.219739437103271
Würtele Bau;Miscellaneous Shop;48.7423;9.228550000000041
Volksbank Stuttgart eG Filiale Sillenbuch;Bank;48.74278;9.21556
