name;categories;lat;lng
Florida Eiscafé;Ice Cream Shop;52.53555691648738;13.199233883690894
Spandauer Bierbrunnen;Pub;52.53314132069732;13.198368965915632
Charlotte;Bistro;52.537170206006316;13.20219301206387
La Bottega;Italian Restaurant;52.53654460038759;13.204786648880722
Meridian Spa;Spa;52.53332583541937;13.197659528705447
dm-drogerie markt;Drugstore;52.5336624;13.1973583
Galeria Karstadt Kaufhof;Department Store;52.53659084;13.20280682
TK Maxx;Clothing Store;52.53336;13.197778
Telekom Shop;Mobile Phone Shop;52.534231;13.193812
Ibis Hotel Berlin Spandau;Hotel;52.533327173990706;13.19805421964304
Spandau Arcaden;Shopping Mall;52.53387796657927;13.196747303009033
Mr. Croissant;Café;52.53675;13.202367
Dalmacija Grill;Restaurant;52.536487610443224;13.190949237760805
Alt Spandau;Restaurant;52.5382;13.202098
Markt Spandau;Plaza;52.53718394355253;13.20461611272347
Telekom Shop;Mobile Phone Shop;52.53758962438591;13.204136118292809
Dunkin';Donut Shop;52.534624;13.198708
Rossmann;Drugstore;52.53363870851623;13.198181601167573
BIO COMPANY;Organic Grocery;52.532700908850394;13.198284749675752
real;Big Box Store;52.53335;13.197829
Münsingerpark;Park;52.53691257613907;13.19782018661499
SUBWAY;Sandwich Place;52.5342329;13.1985234
Lutetia;Pub;52.53708743700832;13.201965824495048
BackWerk;Bakery;52.53440638085948;13.198473921604608
C&A;Clothing Store;52.53582408429442;13.20101839000427
Rossmann;Drugstore;52.537529;13.204214
McDonald's;Fast Food Restaurant;52.53374604966026;13.198488755352516
Gleis 5/6;Platform;52.53436288064912;13.19800328934221
Thalia;Bookstore;52.53393961850243;13.197417383769354
Packstation 148;Shipping Store;52.5342749174955;13.195942880553273
Thoben's Backwaren;Bakery;52.53567892623376;13.194627558323123
Parfümerie Douglas Berlin Spandau;Perfume Shop;52.533951;13.196342
Saturn;Electronics Store;52.5333503;13.1978294
H&M;Clothing Store;52.534013137864505;13.195199710316958
WONDERPOTS Frozen Yogurt;Frozen Yogurt Shop;52.533592033549986;13.198034763336182
Thoben's Backwaren;Bakery;52.5335059677515;13.197873830795288
Thai-Nippon Sushi Bar;Asian Restaurant;52.53348579629199;13.197986752175968
Peek & Cloppenburg;Clothing Store;52.53391815837474;13.195264317791043
Burger King;Fast Food Restaurant;52.53750399059587;13.203556430143399
H Elsflether Weg;Bus Stop;52.533872946692114;13.193841286888384
ALDI NORD;Supermarket;52.539105;13.197498
Konditorei Fester;Café;52.536902;13.204572
Thoben's Backwaren;Bakery;52.537721769934414;13.202873468399048
LALE Imbiss;Fast Food Restaurant;52.53168987211397;13.19705843925476
