name;categories;lat;lng
dm-drogerie markt;Drugstore;51.44706142492883;7.075142263656971
Eiscafé Fabris;Ice Cream Shop;51.448083088192334;7.075892686843872
KulturForum Steele;German Restaurant;51.44692858005421;7.078052806755753
RuhrStop;Mediterranean Restaurant;51.443732783642226;7.076259762519772
Rossmann;Drugstore;51.4461918367874;7.07838341416875
Eiscafé Kemmerling;Ice Cream Shop;51.44456858452377;7.075913084515369
Ristorante Acquario;Italian Restaurant;51.44807328;7.07786318
H&M;Clothing Store;51.447188504852136;7.075453631215053
REWE;Supermarket;51.44780417702605;7.077140339050411
Casa della Pasta;Italian Restaurant;51.447560563953665;7.0757880677439875
Boulangerie - Baguetterie & Creperie;Sandwich Place;51.448628715632424;7.076060772431937
S Essen-Steele;Light Rail Station;51.450758393745346;7.076051750837289
Jörg Ottemeier - Stuckateurmeister;Building;51.451817;7.075994
o2 Partner Shop;Mobile Phone Shop;51.45;7.08333
