name;categories;lat;lng
Globetrotter;Outdoor Supply Store;52.4558818;13.3202172
Mrhai Life;Sushi Restaurant;52.45707484104433;13.321644593243967
Café Baier;Café;52.45944748222248;13.32310672132395
Jing Yang;Chinese Restaurant;52.45589755968263;13.32462854633575
goodies;Vegetarian / Vegan Restaurant;52.45628942523345;13.320314701105131
zur Bratpfanne;Currywurst Joint;52.45896536941145;13.322867632335917
Metro Döner;Doner Restaurant;52.45585764147392;13.322318293969857
Mr Hai;Asian Restaurant;52.45714653433303;13.321885653871044
Die Kaffeenauten;Café;52.45493895284516;13.324619657945872
Ishin;Sushi Restaurant;52.459571;13.323615
Cebo's Gemüsedöner;Doner Restaurant;52.458546415937896;13.322136862226236
vanille & marille;Ice Cream Shop;52.45395181725596;13.323204057954053
Akiko Sushi;Sushi Restaurant;52.4606312606575;13.323383107999069
dm-drogerie markt;Drugstore;52.456366;13.321946
Adria Filmtheater;Indie Movie Theater;52.454389267925414;13.317956988934926
Naturkaufhaus;Department Store;52.45970710098464;13.32367783332205
Decathlon;Sporting Goods Shop;52.4609533;13.3251444
Any Sushi;Sushi Restaurant;52.46024679368716;13.325181971951032
Osteria Maria;Trattoria/Osteria;52.453131742789154;13.324577387204311
Fitness First;Gym / Fitness Center;52.460953352649064;13.325072228908539
Schlosspark Theater;Theater;52.4548685256875;13.318015336990356
Nirwana;Indian Restaurant;52.45405049997922;13.31743205348137
Jungbluth;German Restaurant;52.460309786703384;13.316993063881627
eurogida;Grocery Store;52.454568276555534;13.327419772101436
Trattoria Siciliana;Trattoria/Osteria;52.45791548;13.32898434
Finnegan's Irish Pub;Irish Pub;52.45811897118354;13.32949372692403
UNIQLO;Clothing Store;52.46111589126425;13.325146602203581
Dokmai;Thai Restaurant;52.46008420030741;13.317480758091174
Randori;Martial Arts Dojo;52.45487948306926;13.320273689367218
