name;categories;lat;lng
Dilara;Falafel Restaurant;51.476326607958214;7.0381589212748485
Nikolaus-Grill;Greek Restaurant;51.47762518471664;7.037799954414368
Pizzeria La Pentola;Pizza Place;51.47425092579898;7.039709595349438
Trattoria Paolo;Trattoria/Osteria;51.47890587899928;7.038919108989213
EDEKA M&H;Supermarket;51.47615476;7.03302908
Lidl;Supermarket;51.47302;7.033133899999999
REWE;Supermarket;51.47736708648671;7.039940357208252
"Petul Hotel ""An der Zeche""";Hotel;51.47498897137106;7.037577944931138
"Petul Apart Hotel ""Residenz""";Hotel;51.47317717113381;7.032880783081055
ALDI NORD;Supermarket;51.476659;7.031119
