name;categories;lat;lng
Portus Padaria Artesanal;Bakery;-26.90385245646763;-49.09141679192019
Cooper;Supermarket;-26.904533523554324;-49.09292909429692
Star Beer;Liquor Store;-26.903250550752695;-49.09023800362903
Stuttgart Artigos Finos;Gourmet Shop;-26.903686896583043;-49.0917041604386
Boutique do Peixe;Fish & Chips Shop;-26.904166971349596;-49.09195755612051
Trevi's Camisaria;Tailor Shop;-26.904833616175573;-49.08974208972314
Hi Soluções;Electronics Store;-26.904921503861367;-49.09282035086112
Empório do Pão;Bakery;-26.906086118317145;-49.09205346381546
Sushi Da Vila;Sushi Restaurant;-26.904554538768718;-49.09292552867502
Hi Soluções;Other Repair Shop;-26.90403044301333;-49.09155544033565
Equilibrium Academia;Gymnastics Gym;-26.903924475684992;-49.08843071571753
Restaurante Kamer;BBQ Joint;-26.90260504482306;-49.089228942759384
Posto Almirante;Gas Station;-26.901586533133905;-49.08901548537853
Sushi Haus;Sushi Restaurant;-26.902647724731988;-49.08777868741913
Restaurante Saint Petit;Italian Restaurant;-26.904119281902062;-49.09371044689576
Big Dog Brasil;Hot Dog Joint;-26.900670763324467;-49.08861452662763
Mega Pizza Express;Pizza Place;-26.90218593937098;-49.08835339382703
Formabella;Furniture / Home Store;-26.904189823961545;-49.091819395346626
Hiper Festas;Souvenir Shop;-26.90517960337104;-49.09248553072869
Clinica CorpusBlu;Spa;-26.906209370018278;-49.09185108225708
Berlim Ambientes;Furniture / Home Store;-26.904553017166528;-49.08692970609875
Crossfit Blumenau;Gym / Fitness Center;-26.905502730220892;-49.08714383151323
