name;categories;lat;lng
Café Maître;Café;51.323206896739265;12.373429593485904
Hafenbar;Pub;51.32408403097916;12.373178920528268
Noels Ballroom;Irish Pub;51.320697167340164;12.374437386579995
Eisdiele Pfeifer;Ice Cream Shop;51.32206892344835;12.371842898455524
Viet Cuisine;Vietnamese Restaurant;51.322578;12.37344
Horns Erben;Pub;51.32329781233007;12.372077387743415
McCormacks Irish Pub & Lounge;Irish Pub;51.32369482072644;12.373788862074514
Killiwilly;Irish Pub;51.32539914087019;12.373678285861498
Staubsauger;Nightclub;51.32157559464226;12.373522858053256
die naTo;Cultural Center;51.325124383724805;12.373547882138105
NIL Döner & Pizza;Falafel Restaurant;51.323794001164565;12.373617088369569
Whispers Records;Record Shop;51.32001921608781;12.373612642634052
Burgermeister - Der Grill;Burger Joint;51.32435028720813;12.373523398934706
Café Puschkin;Café;51.322022901245674;12.373208832057598
Shams Bistro;Restaurant;51.320409382039124;12.378475
Sommerkino auf der Feinkost;Movie Theater;51.32642984390259;12.373014
Feinkostgelände;Historic Site;51.32633839747283;12.373008472114368
Meet freude;Korean Restaurant;51.322543;12.373919
El-Amir;Falafel Restaurant;51.32510642180918;12.373595337450682
Rababa Bar;Hookah Bar;51.323099553955714;12.373447833329697
Südplatzspäti;Food & Drink Shop;51.324303506712376;12.372810294184271
Absturz;Concert Hall;51.32638849637314;12.372776801562695
Fela;Restaurant;51.31844389247792;12.373351708103248
Shady;Mediterranean Restaurant;51.32547104108011;12.370373536494066
Lulu Lottenstein;Café;51.32482090192238;12.37363347184052
Kollektiv;Gastropub;51.32212140414797;12.373336625898817
Biergarten unter der Löffelfamilie;Beer Garden;51.32672049921714;12.373579349709505
Café Grundmann;Café;51.3251151717208;12.369623854278242
LA COSITA;Caribbean Restaurant;51.322144144182985;12.373770475387573
Olive Tree;Pizza Place;51.325803527791436;12.373690096584541
ALDI NORD;Supermarket;51.32612501528059;12.371996082235315
Südplatz;Plaza;51.32439405150664;12.373527202413737
Orange;Café;51.32588072844218;12.373689841835818
La Boum;Cocktail Bar;51.32681129873903;12.37387272873746
Kickers In;Bar;51.32294597586519;12.373571073207653
Deli Door;Hot Dog Joint;51.32488974097278;12.373633104287576
