name;categories;lat;lng
Creme de la Creme - Florida Eis;Ice Cream Shop;52.588646;13.278311
Cafe Wetterstein;Café;52.589049;13.279866
Greenwichpromenade;Waterfront;52.58804517362675;13.273844718933105
Bergmann Pizza;Pizza Place;52.58936339172051;13.281678640087993
Rüan Thai Restaurant;Thai Restaurant;52.5868722099593;13.283095414756497
Hax'nhaus;German Restaurant;52.58979;13.2822099
Donna Francesca;Restaurant;52.588995;13.280823
Fisherman's;Seafood Restaurant;52.585219;13.276782
Aarju;Indian Restaurant;52.58667584992914;13.28266869706722
Blaue Lagune;Mediterranean Restaurant;52.58850611059344;13.278330353766888
Florida Eiscafé;Ice Cream Shop;52.58938369840053;13.281575811432175
SeeGarten;Beer Garden;52.584961949938595;13.275872468948364
DADU;Japanese Restaurant;52.58940094117387;13.282143473625181
Pianoforte;Italian Restaurant;52.587143;13.285779
dm-drogerie markt;Drugstore;52.5897319;13.2849612
Darjiling;Indian Restaurant;52.58868571364056;13.279117108639719
Falafel Moudi;Falafel Restaurant;52.58778168799675;13.285322216805165
Konditorei Röttgen;Café;52.58932650638991;13.283876824507262
Mal Sehn;Bar;52.58936803248678;13.280969538041388
Laventes Grill;Restaurant;52.58668503732674;13.282781830684184
Tegeler See Terrassen;Lounge;52.588963356573316;13.274575629718312
Rossmann;Drugstore;52.5907566667782;13.2831573486328
Restaurant Weil;Restaurant;52.589472793252604;13.281840399280368
C&A;Clothing Store;52.59004558844634;13.282905232478038
Pavillon am See;Café;52.588554106028745;13.273017453454182
Brasserie Alt-Tegel;Brasserie;52.589055485155974;13.280432224273682
Edeka Tegel;Supermarket;52.58693138660873;13.28297482662979
Curry 27;Snack Place;52.590257913145116;13.282802286347184
H U Alt-Tegel;Bus Stop;52.590374;13.283281
