name;categories;lat;lng
Alter Park;Park;52.46287074203469;13.382309408058477
City Chicken;Fried Chicken Joint;52.464783353188814;13.385706167873973
Franckepark;Park;52.4612132016372;13.388428688049316
Nuova Mirabella;Italian Restaurant;52.465644056433305;13.384034096833979
Müllerskind;Café;52.462680782026176;13.381306691069783
RISA Chicken;Fried Chicken Joint;52.466194911143816;13.38532605664186
Bosepark;Park;52.462958329071206;13.379771795281743
Thürmann Bäckerei & Konditorei;Bakery;52.46076866305522;13.385080280744857
EGE Gemüsekebap;Doner Restaurant;52.459218;13.384774
Café Klatsch;Café;52.46585700255897;13.38076329559754
Bambusstäbchen;Vietnamese Restaurant;52.46664276531108;13.385444816675534
dm-drogerie markt;Drugstore;52.459654927667806;13.384770689924675
Balli Döner;Doner Restaurant;52.4659823152116;13.385411098485934
Amera;Italian Restaurant;52.46716998881639;13.382751642683369
Rossmann;Drugstore;52.45956108078195;13.384524458560131
EDEKA;Supermarket;52.46550069347914;13.383998450074037
Hotel Alt-Tempelhof;Hotel;52.4640135430467;13.384933899156918
Pausini;Coffee Shop;52.459449320605344;13.383953043052635
M & M Back;Bakery;52.459649730531886;13.384572006259795
Galeria Karstadt Kaufhof;Department Store;52.45976417152396;13.384770315342202
