name;categories;lat;lng
Kyprios;Greek Restaurant;48.101983237201296;11.543869711215393
Pogner's Restaurant & Kegelbahn;German Restaurant;48.10471041022085;11.545836637501916
Kiosk 1917;Convenience Store;48.10104463576629;11.547463343556597
GELATOBI;Ice Cream Shop;48.10082976416337;11.546576889666527
HI Munich Park Hostel - DJH Jugendherberge München Park;Hostel;48.099476231377075;11.543361655035298
Kletter- und Boulderzentrum München;Climbing Gym;48.10676105352105;11.54556188035309
Mangostin Asia;Asian Restaurant;48.10023167599755;11.545920964682608
Grillplatz an der Isar (Thalkirchen, Westufer gegenüber Tierpark);BBQ Joint;48.10004997429784;11.550424524780034
Cafe am Tierpark;Italian Restaurant;48.100435674582;11.544770239704732
Shan;Indian Restaurant;48.10398329931054;11.542565468310581
Das Bootshaus;German Restaurant;48.098696881924695;11.547256896115133
Backstube Wünsche;Bakery;48.100585563436674;11.546989292373164
EDEKA;Supermarket;48.10046639999999;11.546664
Alter Wirt;German Restaurant;48.10050888666352;11.544953688342893
Rizzo;Italian Restaurant;48.102839017973615;11.547141218258943
Vinum Merum;Dessert Shop;48.10027914456942;11.543618364294986
Gästehaus Am RPTC Hotel;Hotel;48.105154626474764;11.549910846772805
Thalkirchentrails;Trail;48.10080257803885;11.55033476925711
Susi & Günther's Hexenhäusel;Convenience Store;48.102532;11.551853
Kanuzentrum (MTV);River;48.09880497229118;11.54787540435791
Spielplatz Maria-Einsiedel-Straße;Playground;48.09848460995848;11.546234795628683
