name;categories;lat;lng
Rosengarten;Garden;52.513972285563135;13.35688796731381
Luiseninsel;Sculpture Garden;52.51091480493819;13.364304521528554
Gedenkstätte Deutscher Widerstand;Memorial Site;52.50763431211695;13.363169236520958
Harry's New York Bar;Hotel Bar;52.50577327676405;13.354751696063293
Kantine im Felleshus;Scandinavian Restaurant;52.50855527666073;13.350813388824463
Maritim Hotel Berlin;Hotel;52.5075862;13.3635465
Ellipse Lounge;Lounge;52.505763;13.354719
Sheraton Club Lounge;Lounge;52.50575853244261;13.354830514739534
Café im Bauhaus-Archiv;Café;52.506372668573704;13.353988125172108
Eventlocation Alte Pumpe;German Restaurant;52.5054807876333;13.358202960121718
Richard-Wagner-Denkmal;Outdoor Sculpture;52.510017117827026;13.362063486461672
Regenbogenwiese Tiergarten;Park;52.51209234371832;13.35129312322586
