name;categories;lat;lng
body + soul Center Trudering;Gym / Fitness Center;48.12243724042513;11.662373344523186
Leto Motel;Motel;48.122214449252866;11.661578991377992
Müller Bäckerei;Bakery;48.1257917635959;11.663456271898124
dm-drogerie markt;Drugstore;48.1223517;11.6612886
HIT;Supermarket;48.12473447855568;11.664641177009573
SUBWAY;Sandwich Place;48.121602222946;11.662820224951579
Wanderweg zur Scandio;Trail;48.127680460334894;11.663284645836574
Traine Coffe;Café;48.12554768024504;11.663593687373416
S+U Trudering;Light Rail Station;48.12554479638421;11.663594565728598
Miyako;Asian Restaurant;48.12653314;11.65827292
denn's Biomarkt;Organic Grocery;48.12240057773411;11.661950399218139
FIT STAR Fitnessstudio München-Trudering;Gym / Fitness Center;48.1218981;11.6620671
Tiberio;Italian Restaurant;48.12168205035145;11.662770509719849
Poco Domäne;Furniture / Home Store;48.127607943821786;11.65977912368347
