name;categories;lat;lng
Caipi Colada;Cocktail Bar;53.57257486233466;10.016085740857179
Aspria;Gym / Fitness Center;53.57118949544174;10.017295938304997
Alsterperle;Café;53.567749;10.015511
No Ne Asia Imbiss;Asian Restaurant;53.57126815446603;10.016307753870262
FARDI - Syrisches Restaurant;Middle Eastern Restaurant;53.57487056717486;10.014998396067876
Budnikowsky;Drugstore;53.57239908096006;10.015756461230822
Akari;Japanese Restaurant;53.568751617523546;10.017955727182665
Emmas;Cupcake Shop;53.57376655136403;10.015362150155328
Alsterpark;Park;53.56886720723957;10.01355528831482
Schöne Aussicht;Scenic Lookout;53.569778305525574;10.009961128234862
Ristorante Farinelli Da Franco;Italian Restaurant;53.574185993022255;10.015057581182266
San Michele;Italian Restaurant;53.57314649549393;10.018611037489356
Casa Nova;Pizza Place;53.57022841127006;10.01708020624333
Cafe Hansa-Steg;Café;53.56983240677499;10.009584430625203
EDEKA;Supermarket;53.56895010529493;10.017910420401595
Boulevard Hotel;Hotel;53.575034258510506;10.015057325363157
Anleger Uhlenhorster Fährhaus;Pier;53.57334814205759;10.007449883884203
guter blick;River;53.57441883655541;10.007865132331775
Norddeutscher Regattaverein;Harbor / Marina;53.57437104357483;10.007496828192759
