name;categories;lat;lng
Giesinger Garten;German Restaurant;48.1160256315688;11.56831757599685
Lucullus;Greek Restaurant;48.11747378268964;11.570439826602465
Kebab Haus;Kebab Restaurant;48.11594216367028;11.573065206277766
Patisserie Lehmann;Cupcake Shop;48.11557263795641;11.57289783677121
Ammos;Taverna;48.1137867393328;11.57183028656776
Solo Pizzeria Italia;Pizza Place;48.11489;11.57576
Giesinger Bräu;Brewery;48.115542431061165;11.576862211887484
Hamam Anatolia;Spa;48.11286647812093;11.575886232193342
dm-drogerie markt;Drugstore;48.1167222;11.5715223
Body Up;Gym;48.11627462165476;11.573013204563372
Fiedler & Fuchs;German Restaurant;48.11638905150187;11.57436842113554
Va Pensiero;Italian Restaurant;48.115017384964226;11.570125287184773
Likavitos;Taverna;48.116529892036056;11.570887539340147
ALDI SÜD;Supermarket;48.11658058137751;11.572916976686429
Hans-Mielich-Platz;Plaza;48.116436;11.570517
Van Hoa;Vietnamese Restaurant;48.114574466190945;11.57660798649212
Café Wimmer;Café;48.113798139344;11.571930310636166
Mama Pizza;Pizza Place;48.115556;11.571528
Gaststätte Hans Mielich;German Restaurant;48.113827464881716;11.569779997275976
Post Café;Convenience Store;48.114738384137745;11.570127990659314
Jakob-Gelb-Platz;Plaza;48.1135369747867;11.572438211454436
Giesinger Frischemarkt;Supermarket;48.11259275;11.57119554
Sparkasse;Bank;48.11183328585838;11.57024065230006
Isarstrand;Beach;48.11811369147588;11.570015118937187
Sportgaststätte  Agilolfingerplatz;Soccer Field;48.11476380669726;11.565250260807096
Bezirkssportanlage Agilolfingerstraße;Soccer Field;48.11589303915257;11.565363193543623
SoulPlus;Gym;48.11148319;11.57126796
Giesinger Stehausschank;Music Venue;48.11583;11.576709
Entenweiher;Lake;48.11527520290372;11.563507318496704
