name;categories;lat;lng
Parkbad Volksdorf;Pool;53.65046377161073;10.165438242837558
Volksdorfer Wochenmarkt;Farmers Market;53.650647862656704;10.162697898040586
Museumsdorf Volksdorf;History Museum;53.64966189731898;10.16808271408081
De Fries;Fast Food Restaurant;53.649255020430225;10.163672982713942
Restaurant Eichenkrug;German Restaurant;53.65055116800355;10.167684587178329
Hansebäcker Junge;Bakery;53.648494378192716;10.164159717317048
Koralle Lichtspielhaus;Indie Movie Theater;53.651505515529955;10.16330458361997
Das Leben isst schön;Café;53.648416;10.168018
Block House;Steakhouse;53.647711;10.164606
Restaurant Olive;Greek Restaurant;53.647497386667865;10.169062801459043
EDEKA;Supermarket;53.647766811180134;10.168769359588623
Lidl;Supermarket;53.651897021917904;10.164931872695888
Deutsche Bank Filiale;Bank;53.64887052688762;10.16490462892682
Hacienda;Brazilian Restaurant;53.648905;10.167604
Louisiana;American Restaurant;53.64882255257472;10.16713574843872
Shell;Gas Station;53.64774239;10.17075175
Thalia Hamburg - Weiße Rose;Toy / Game Store;53.648051;10.164175
La Plaza;Tapas Restaurant;53.64936937280265;10.163286924362183
Atelier Gourmand;Café;53.64974030501947;10.163324025587832
Villaggio;Italian Restaurant;53.649251;10.167701
Mega Döner;Doner Restaurant;53.650300855243145;10.162588489271023
