name;categories;lat;lng
Eltzhof das KulturGut;Event Space;50.85652817261953;7.083766815387209
EDEKA Hein;Supermarket;50.8563209;7.0814502
dm-drogerie markt;Drugstore;50.85547857050439;7.081297477559019
REWE;Supermarket;50.857861532073905;7.089923841545328
Lidl;Supermarket;50.85777556377118;7.09161391851012
Gleis 3/4;Platform;50.85858876458292;7.079495872911606
H Wahn S-Bahn;Bus Station;50.85848567964192;7.079470101515982
S Porz-Wahn;Light Rail Station;50.85852970630228;7.079447812310809
Gleis 1;Platform;50.858554892347314;7.079408320125618
Gleis 2;Platform;50.857939;7.079336
