name;categories;lat;lng
REWE;Supermarket;50.8592282;7.098881
Jaumanns Hotel;Hotel;50.859004;7.10666
Antica Roma;Italian Restaurant;50.859080998851674;7.106031117398955
Gaststätte Bonerath;German Restaurant;50.86086679242492;7.104527950286865
Heide-Grill;Fast Food Restaurant;50.859154595603016;7.1030459508203965
Karsten Hotel;Hotel;50.85842824447618;7.103026970531524
La Fonte;Italian Restaurant;50.85898580301632;7.10665762424469
ALDI SÜD;Supermarket;50.85920493341054;7.100022413971715
Am Flughafen Hotel Cologne;Hotel;50.8590292;7.1075625
Gyros-Palast;Greek Restaurant;50.85906047710607;7.107827631435672
