name;categories;lat;lng
McFIT;Gym / Fitness Center;52.6073688;13.3236019
FitX;Gym / Fitness Center;52.607940323731746;13.325507198157538
OBI;Hardware Store;52.60648457961556;13.322237133979797
Rossmann;Drugstore;52.60760196866191;13.32637310028076
Burger King;Fast Food Restaurant;52.60683967135332;13.324248790740967
S Waidmannslust;Light Rail Station;52.606687279740726;13.320851329764386
Tchibo Prozente;Warehouse Store;52.60760126075628;13.323242401832069
Ristorante San Giorgio;Italian Restaurant;52.60633323603934;13.317238042928752
DAS FUTTERHAUS - Berlin-Waidmannslust;Pet Store;52.607647575772525;13.324742317199707
MediMax;Electronics Store;52.60714349119846;13.325320649887422
EDEKA Aras;Supermarket;52.6074596;13.325573
NordMeile;Shopping Mall;52.60710189674794;13.325432597152444
