name;categories;lat;lng
MeridianSpa;Spa;53.576688213252204;10.080210467790868
Cabrio Sport Hamburg;Tennis Court;53.57532266855536;10.075160294245805
Q-Pub;Pool Hall;53.57543980785994;10.07400296250139
Ni Hao;Chinese Restaurant;53.575131366402196;10.074599715136703
Conrad Electronic;Electronics Store;53.57690290867384;10.07863343671281
Ristorante Angelo;Italian Restaurant;53.5739107675008;10.072764163768657
Eiscafé Jacobs;Ice Cream Shop;53.572202590699504;10.074884838139214
jam jam - Running Sushi;Sushi Restaurant;53.57340743301225;10.070281654238524
ibis budget Hamburg City Ost;Hotel;53.57542071805356;10.074754708044907
El Pulpo;Spanish Restaurant;53.57524145105106;10.074819348806496
Sunset;Bar;53.579509267123456;10.076860785484314
Schweinske;German Restaurant;53.57341272915424;10.071055332283276
Sushi für Hamburg;Sushi Restaurant;53.57939082221273;10.072692994409774
Slotcar Racing-Center;Racetrack;53.57560694659242;10.073844587130402
Zahara Wandsbek;Hookah Bar;53.57318167344829;10.070588699592486
STAPLES;Paper / Office Supplies Store;53.57673524259074;10.082945963086999
Byblos;Cocktail Bar;53.575498727670464;10.073868017726415
Hot Pot;Soup Place;53.574336;10.073416
Tea Time;Bubble Tea Shop;53.57309671785357;10.076247673286845
Rossmann;Drugstore;53.57304023695942;10.070078532040608
MASTER'S Vertriebs GmbH;Home Service;53.57875152;10.07032452
