name;categories;lat;lng
Eiscafé Kibo;Ice Cream Shop;52.5520339786886;13.341582787328937
Goethepark;Park;52.54682890763911;13.338853467149123
Zaunkönig Familiencafé;Café;52.550636;13.348629
Kaufland;Big Box Store;52.55356695576731;13.345989707322405
EDEKA Fromm;Supermarket;52.5526436;13.3475541
BSC Rehberge 1945 e.V.;Tennis Court;52.549662170075635;13.338990211486815
Natürlich Bio - Naturkost & Naturwaren;Organic Grocery;52.55005397025634;13.346085437969391
Aral;Gas Station;52.546403;13.345187
Bücher fürs Leben / DHL Paket Shop;Bookstore;52.55178963866186;13.348561751972134
Paul Gerhardt Apotheke;Pharmacy;52.553997;13.345262
ALDI NORD;Supermarket;52.55270561849789;13.347823034442998
H Türkenstraße;Bus Stop;52.55342691262654;13.346908807071836
