name;categories;lat;lng
Capri Eis;Ice Cream Shop;48.81379542225876;9.113972997907563
Baran Kebab;Kebab Restaurant;48.813788174478574;9.114371001502455
La Pergola;Italian Restaurant;48.81590074266814;9.10841038765201
dm-drogerie markt;Drugstore;48.813846623023856;9.111066167353442
dm-drogerie markt;Drugstore;48.81400928264141;9.114398327956678
REWE;Supermarket;48.81421722975019;9.113276556406163
Lidl;Supermarket;48.8142185;9.1167806
Löwen-Markt;Shopping Mall;48.813787484921264;9.11290370605738
Al Bacio;Ice Cream Shop;48.813793659671205;9.112864437260177
Maia;Asian Restaurant;48.81398612212475;9.116205507545986
