name;categories;lat;lng
Café K;Café;52.50978918059654;13.255226877423388
Westend Klause;Bar;52.516494;13.260109
Georg-Kolbe-Museum;Art Museum;52.50988349489067;13.255111074929948
Wiener Conditorei Caffeehaus am Steubenplatz;Café;52.51607075125315;13.260251416623968
Rossmann;Drugstore;52.51527688160554;13.262164141438525
Il Cardinale;Italian Restaurant;52.516325;13.259847
H U Neu-Westend;Bus Stop;52.51627309503223;13.260347843170166
Butter Lindner;Gourmet Shop;52.51619348836823;13.260541009231464
Steubenplatz;Plaza;52.51620646150641;13.260896236744173
Ital. Eis Gloria;Ice Cream Shop;52.5162587700766;13.260991698685274
