name;categories;lat;lng
EDEKA Patzer;Supermarket;51.5328238;7.609601499999999
Pizzeria Pinocchio;Pizza Place;51.53212768049935;7.608890465109737
Lidl;Supermarket;51.5328238;7.609601499999999
dm-drogerie markt;Drugstore;51.53209615985141;7.611713486124472
Shell;Gas Station;51.53173593;7.60821126
Restaurant Plaka;Greek Restaurant;51.530322346351895;7.608705195421799
REWE;Supermarket;51.53264685;7.61202861
myDöner;Fast Food Restaurant;51.53232563958126;7.611271518829946
Grill Store;Burger Joint;51.53177;7.61092
S Dortmund-Wickede West;Light Rail Station;51.529455926379136;7.607870909517728
