name;categories;lat;lng
S¸dpark;Park;52.51653424960838;13.191833496093748
auf'm Boot;Boat or Ferry;52.51226018447523;13.193864018366325
Segler-Club Gothia;Harbor / Marina;52.511770703455824;13.193717286841284
H Alt-Pichelsdorf;Bus Stop;52.513309465445595;13.196077990558292
Netto Filiale;Supermarket;52.5126481;13.1963987
AWN Wassersportzentrum;Sporting Goods Shop;52.51285525313688;13.197339271041624
Yachthafen Angermann;Harbor / Marina;52.51135470969467;13.196414765942095
H Heerstraﬂe / Wilhelmstraﬂe;Bus Stop;52.51570629637753;13.185494565052833
H Gatower Straﬂe / Heerstraﬂe;Bus Stop;52.51544131231973;13.184831749034586
Grimnitzsee;Lake;52.51491816194606;13.198507222421268
