name;categories;lat;lng
Bahadur;Indian Restaurant;52.48779080041393;13.319594974738457
BIO COMPANY;Organic Grocery;52.48570423099271;13.32251556908651
Rossmann;Drugstore;52.48644727236808;13.321676651243681
EVA Lichtspiele;Indie Movie Theater;52.48464151811313;13.320160541709342
Yoshioka;Japanese Restaurant;52.487989721940565;13.317926134259867
Francesco Forgione;Italian Restaurant;52.48740268473961;13.322821855545044
A Telha;Seafood Restaurant;52.49052;13.325013
Garçon;French Restaurant;52.489348197760535;13.319556529543785
Vino y Mar;Tapas Restaurant;52.487628;13.321613
Weichardt Brot;Bakery;52.48595180187414;13.32616546826688
Istanbul Grill;Doner Restaurant;52.486741701588656;13.320035683184551
Les 3 veuves de Wilmersdorf;French Restaurant;52.489290357815726;13.319579852846745
ANH BA;Vietnamese Restaurant;52.487191;13.326351
Back-Art 132;Bakery;52.486433610055;13.321500226419456
Les Baguettes;Bakery;52.4866644300123;13.326319456100464
West Burger;Burger Joint;52.48686340440469;13.322549768532516
Bobsek Burger;Burger Joint;52.486797012275915;13.323886164039473
EDEKA;Supermarket;52.4867891;13.3255348
Tegernseer Tönnchen;Bavarian Restaurant;52.486439541927645;13.31753238293806
Monheim;Ice Cream Shop;52.48514046140478;13.320466553424968
Sushi Miyabi;Sushi Restaurant;52.48713535160029;13.322618868340347
AssaTir;Falafel Restaurant;52.48943090490464;13.32280384030698
Aral;Gas Station;52.48427111;13.32072707
Salumeria Veneto;Italian Restaurant;52.4894177089186;13.319841167621245
Pho Bay;Vietnamese Restaurant;52.48650761242479;13.32309816502988
Boulderworx;Climbing Gym;52.48688055342877;13.318214828154577
Tulum;Mexican Restaurant;52.4830587748448;13.320454716849786
Hotel-Pension Gasteiner Hof;Hotel;52.48731670631572;13.323412853587271
Lidl;Supermarket;52.48676769999999;13.3249204
Thoben's Backwaren;Bakery;52.486632426429786;13.323771254471179
Max & Moritz;Doner Restaurant;52.48670680811843;13.322523863397299
Ibis Berlin City West;Hotel;52.48911863352239;13.316606958228704
Bäcker Wiedemann;Bakery;52.48635687467388;13.320957389696973
Spielbrett;Toy / Game Store;52.4863821868586;13.321963375162209
Galeb-Grill;Eastern European Restaurant;52.48642987899782;13.320120925230626
Uhland-Eck;Bar;52.486541592643604;13.322584305934102
OBETA electro - Oskar Böttcher GmbH & Co. KG;Hardware Store;52.485641959416995;13.318573236465454
Adria-Grill;Restaurant;52.48658083937348;13.324183967378914
Sky Fox;Hobby Shop;52.489631005362526;13.320996560573263
H Am Volkspark;Bus Stop;52.484063106711716;13.320174943371933
Sportplatz Volkspark Wilmersdorf;Soccer Field;52.48385176197198;13.322596549987793
Grün Elektro;Lighting Store;52.48675602200252;13.327186336749206
