name;categories;lat;lng
MAGAZIN-Filmkunsttheater;Indie Movie Theater;53.59976217859377;10.003804646110007
Planetarium Hamburg;Planetarium;53.59733021407599;10.008937918142657
Bäckerei Rohlfs;Bakery;53.59500728959124;9.999854564666748
das BISTRO;Bistro;53.596564994664845;9.9973147181975
Café Galão;Portuguese Restaurant;53.59704120921114;9.997001359374757
MEM Open Kitchen;Mediterranean Restaurant;53.596547615389;9.99750650204861
Kailua Poké;Hawaiian Restaurant;53.59660351069495;9.997669352066003
Loft;Café;53.59599;10.002032
Arizona Steak-House;Steakhouse;53.593340270745216;10.000554695266139
dm-drogerie markt;Drugstore;53.594692204980724;10.000573093254161
Café Quiddje;Café;53.5927193099345;10.002152938976755
L'Osteria;Trattoria/Osteria;53.59503664014137;9.999236268105518
Rossmann;Drugstore;53.59432923773619;10.000766831666338
Die Lakritzerie;Candy Store;53.59409143418832;10.000159110291738
