name;categories;lat;lng
Piazza Fontana;Italian Restaurant;52.43519563793024;13.257949294254987
Butter Lindner;Gourmet Shop;52.432821308794395;13.259330523440134
Alte Backstube;Café;52.43518053686588;13.257545469237762
Liberty Pizza;Pizza Place;52.435619483427054;13.257882893178284
Gartenhaus Café;Café;52.431333;13.25823
Civan's Döner;Doner Restaurant;52.43571654373097;13.260932094396475
Garbatella;Italian Restaurant;52.43757299446411;13.257298646410401
Block House;Steakhouse;52.43157405432615;13.2589731048735
Sakura Sushi;Asian Restaurant;52.43567012074667;13.261411623461933
dm-drogerie markt;Drugstore;52.43357;13.260023
BIO COMPANY;Organic Grocery;52.43370097636679;13.259823277048763
dm-drogerie markt;Drugstore;52.43659914261847;13.261736347420424
Fitness First;Gym / Fitness Center;52.43772417696904;13.262523114681244
Spirit Yoga Zehlendorf;Yoga Studio;52.43149235482039;13.257144707795428
Telekom Shop;Mobile Phone Shop;52.434706808136355;13.260650266861376
Sixteen Bites;Fast Food Restaurant;52.43189452681985;13.259409070014952
Café LebensArt;Café;52.43621657368682;13.261363551525063
Deutsche Bank Filiale;Bank;52.434987300780676;13.259285849896969
H&M;Clothing Store;52.43158;13.259647
Tomasa;Café;52.43489385337332;13.261979086450642
Zehlendorfer Grill;Doner Restaurant;52.430659187300364;13.258585312663849
TK Maxx;Big Box Store;52.437802304591806;13.262201759245729
Gasthaus Kronprinz;German Restaurant;52.4381692144769;13.262149305623232
Zehlendorfer Eiche;Tree;52.435079193714294;13.26000869828646
REWE;Supermarket;52.437089537433856;13.262295330759002
Subway;Sandwich Place;52.42994122046256;13.259903320420449
Mittelhof;Café;52.433946682069866;13.254495858633604
