name;categories;lat;lng
MIO Restaurant;Italian Restaurant;51.33192148772387;12.366488986582933
Viet Village;Vietnamese Restaurant;51.33182;12.36724
Renkli - Wein und Angst;Wine Bar;51.331595;12.373756
myhotelshop;Tech Startup;51.33025;12.372399
Galerie für zeitgenössische Kunst;Art Gallery;51.33415284216148;12.365387318173438
Parkbühne;Music Venue;51.32920325494306;12.36105020955498
Café bau bau;Café;51.33422;12.365909
Uptown Coffee Bar;Café;51.33113370009454;12.374037498052555
Kowalski;Bar;51.33145906680628;12.365843666288496
Coffito;Café;51.33194508558122;12.365932522917513
SoupBAR Summarum;Soup Place;51.33228292222222;12.372737855555556
Shiki Sushi Bar Two;Sushi Restaurant;51.33104;12.37406
Spielplatz Rennbahnweg;Playground;51.328246588941695;12.362405195563557
H Hohe Straße;Tram Station;51.32981307209731;12.373545647339087
Bagel Brothers;Bagel Shop;51.331920182088574;12.37392468310646
SUBWAY;Sandwich Place;51.33048861877092;12.373363392807732
Flower-Power;Rock Club;51.33113519817535;12.374302190141128
Rossmann;Drugstore;51.33057324803194;12.37366924232066
Kreisel;Park;51.332294223343716;12.361979484558105
