name;categories;lat;lng
Höninger;Restaurant;50.91303844585692;6.94080690118825
Star Grill;Eastern European Restaurant;50.911300013028345;6.941382146671602
Refugium;Pub;50.912616937810085;6.94579703202672
Zollhof;Modern European Restaurant;50.91305047305281;6.941514015197754
dm-drogerie markt;Drugstore;50.91222523938443;6.940628574170432
Yummy Town;Chinese Restaurant;50.908752337636614;6.941282226188949
Pizza Corleone;Pizza Place;50.90792434026269;6.945313083385851
Deutsche Bank;ATM;50.9120394342974;6.941177422701799
Rossmann;Drugstore;50.913211;6.946173
China Imbiss Wei Wei;Chinese Restaurant;50.910982620441445;6.940936881938255
Lidl;Supermarket;50.91402878157792;6.941519379615784
Eiscafé Orchidea;Ice Cream Shop;50.9096528685195;6.9415515661239615
H Gottesweg;Tram Station;50.9099685029628;6.941439894713037
Bäckerei Heinemann;Bakery;50.91124047353491;6.9413960535377495
DEE NA Thai Massage & Wellness;Spa;50.910718346111345;6.941986083984375
Bäckerei Middelberg;Bakery;50.91325209788269;6.94199451269944
Mrs. Sporty;Gym / Fitness Center;50.91306913215986;6.944503819096725
ALDI SÜD;Supermarket;50.91306682840577;6.945180775729307
H Bernkasteler Straße;Bus Stop;50.906686315125526;6.937394142150879
H Zollstockgürtel;Tram Station;50.90546774565026;6.942052875823613
SweatnDance;Athletics & Sports;50.91317373095231;6.937024656504023
Anwar Grillhähnchen;Food Truck;50.90623649971159;6.9375416601718465
