name;categories;lat;lng
Landhaus Zündorf;Food;50.869607269534036;7.043106731107226
EDEKA Hein;Supermarket;50.86656075;7.04252539
Groov Terrasse;German Restaurant;50.86986503608848;7.043399421581851
REWE;Supermarket;50.8679631820348;7.04482558475604
H Zündorf Kirche;Bus Stop;50.866313;7.041727
Minigolfanlage Porz-Zündorf;Mini Golf;50.86910565582539;7.041835642794062
Geli's Eiscafe;Ice Cream Shop;50.86924512141146;7.042557625411026
Kombibad Zündorf;Pool;50.86542804453963;7.037478454836345
Pastis Bacchus;French Restaurant;50.869426;7.042578
H Zündorf;Tram Station;50.866115691878896;7.048995442338519
Zum St.Martin;Greek Restaurant;50.86340186709672;7.03721878389396
